,TimeStamp,Text,URL
26,Thu Feb 01 14:49:33,Restocked on @Sneakersnstuff.\nadidas Yeezy Powerphase.\n\u2014&gt; https://t.co/fjQrgpvgCG https://t.co/wghJjOAzSX,"['https://t.co/fjQrgpvgCG', 'https://t.co/wghJjOAzSX']"
27,Sat Dec 16 15:40:15,RESTOCKED on Yeezy Supply.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/ggsEXenFZf https://t.co/qaQnskXRm4,"['https://t.co/ggsEXenFZf', 'https://t.co/qaQnskXRm4']"
28,Sat Dec 16 15:33:12,QUEUE LIVE on #adidas US.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/5H35ivHnic https://t.co/BTgtCTKFQT,"['https://t.co/5H35ivHnic', 'https://t.co/BTgtCTKFQT']"
29,Sat Dec 16 15:04:18,NOW AVAILABLE on @BarneysNY.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/vU6Hb0aniy https://t.co/S9f7epb1mz,"['https://t.co/vU6Hb0aniy', 'https://t.co/S9f7epb1mz']"
30,Sat Dec 16 14:50:00,Releasing in 10 minutes.\nadidas Yeezy Boost 350 V2.\nRandom access at 10:00am ET.\n\nUBIQ  https://t.co/5kJKu2ZqVg\nKUS\u2026 https://t.co/uYQWNX6Z2L,"['https://t.co/5kJKu2ZqVg\\nKUS\\u2026', 'https://t.co/uYQWNX6Z2L']"
31,Sat Dec 16 14:40:00,Releasing in 20 minutes.\nadidas Yeezy Boost 350 V2.\n\nFTL  https://t.co/Qhwf0m9Vqz\nFTA  https://t.co/GDxY37zsMx\nCS\u2026 https://t.co/1sM8xXPmrs,"['https://t.co/Qhwf0m9Vqz\\nFTA', '', 'https://t.co/GDxY37zsMx\\nCS\\u2026', 'https://t.co/1sM8xXPmrs']"
32,Sat Dec 16 14:30:00,Releasing soon on #adidas US.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/ZYv9egJ32d https://t.co/qg8bbr8dgp,"['https://t.co/ZYv9egJ32d', 'https://t.co/qg8bbr8dgp']"
33,Sat Dec 16 14:17:10,QUEUE LIVE on #adidas CA.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/fEz3q0xhWG https://t.co/XUfSGT0rEZ,"['https://t.co/fEz3q0xhWG', 'https://t.co/XUfSGT0rEZ']"
34,Sat Dec 16 14:05:09,10am ET Queue Pages Live.\nadidas Yeezy Boost 350 V2.\nRandom access at 10:00am ET.\n\nUBIQ  https://t.co/5kJKu2ZqVg\nKU\u2026 https://t.co/QZn4Qhrzjt,"['https://t.co/5kJKu2ZqVg\\nKU\\u2026', 'https://t.co/QZn4Qhrzjt']"
35,Sat Dec 16 10:55:46,NOW AVAILABLE on Yeezy Supply.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/ggsEXenFZf https://t.co/TMvxjnevsw,"['https://t.co/ggsEXenFZf', 'https://t.co/TMvxjnevsw']"
36,Sat Dec 16 10:30:36,QUEUE LIVE on #adidas EU.\nadidas Yeezy Boost 350 V2.\n\nUK  https://t.co/orFoWSjXq1\nDE  https://t.co/UZwfKyiPoU\nFR\u2026 https://t.co/HVzsJp0pUV,"['https://t.co/orFoWSjXq1\\nDE', '', 'https://t.co/UZwfKyiPoU\\nFR\\u2026', 'https://t.co/HVzsJp0pUV']"
37,Fri Dec 15 21:21:18,QUEUE LIVE on #adidas AU.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/DL8Cd47uSk https://t.co/rnZ51TI90K,"['https://t.co/DL8Cd47uSk', 'https://t.co/rnZ51TI90K']"
38,Fri Dec 15 19:45:13,QUEUE LIVE on #adidas AU.\nadidas Yeezy Boost 350 V2.\n\u2014&gt; https://t.co/mFRTFavzRX https://t.co/raQ2mbh57S,"['https://t.co/mFRTFavzRX', 'https://t.co/raQ2mbh57S']"
39,Sat Dec 09 14:47:58,QUEUE LIVE on #adidas US.\nadidas Yeezy Powerphase.\n\u2014&gt; https://t.co/NXc8J31Nyc https://t.co/1mYV1w7GzW,"['https://t.co/NXc8J31Nyc', 'https://t.co/1mYV1w7GzW']"
40,Sat Dec 09 14:35:51,QUEUE LIVE on @ubiqlife.\nadidas Yeezy Powerphase.\nRandom access at 10:00am ET.\n\u2014&gt; https://t.co/9X6XzJDJzE https://t.co/hrPA3sYS5e,"['https://t.co/9X6XzJDJzE', 'https://t.co/hrPA3sYS5e']"
41,Sat Dec 09 11:02:02,NOW AVAILABLE on Yeezy Supply.\nadidas Yeezy Powerphase.\n\u2014&gt; https://t.co/ggsEXenFZf https://t.co/VNFUA1uIhC,"['https://t.co/ggsEXenFZf', 'https://t.co/VNFUA1uIhC']"
42,Sat Dec 09 08:43:44,QUEUE LIVE on #adidas EU.\nadidas Yeezy Powerphase.\n\nUK  https://t.co/RcGgf319AU\nDE  https://t.co/COC955eqnR\nFR\u2026 https://t.co/z4nbD8wV6b,"['https://t.co/RcGgf319AU\\nDE', '', 'https://t.co/COC955eqnR\\nFR\\u2026', 'https://t.co/z4nbD8wV6b']"
43,Fri Dec 08 20:27:31,QUEUE LIVE on #adidas AU.\nadidas Yeezy Powerphase.\n\u2014&gt; https://t.co/QnYN9ipAPH https://t.co/nySBZ5AnIf,"['https://t.co/QnYN9ipAPH', 'https://t.co/nySBZ5AnIf']"
44,Tue Dec 05 22:05:28,NOW AVAILABLE on Yeezy Supply.\nadidas Yeezy 500 Desert Rat.\nPREORDER BUNDLE ships March 1.\n\u2014&gt;\u2026 https://t.co/S6z1qNTg8Y,['https://t.co/S6z1qNTg8Y']
45,Thu Nov 30 17:13:53,QUEUE LIVE on #adidas EU.\nadidas Yeezy Boost 350 V2.\n\nUK  https://t.co/OoplvBSthi\nDE  https://t.co/n3aYUIGnMe\nFR\u2026 https://t.co/09kINLcrL9,"['https://t.co/OoplvBSthi\\nDE', '', 'https://t.co/n3aYUIGnMe\\nFR\\u2026', 'https://t.co/09kINLcrL9']"
